date;product_name;units;revenue;cost
2026-08-01;Веб-камера HD;5;17450;10500
2026-06-11;Наушники AirSound Pro;10;59900;38000
2026-06-26;Зарядное устройство 65W;12;22680;10800
2026-06-01;Кабель USB-C 2м;10;5900;2100
2026-05-24;Наушники AirSound Pro;7;41930;26600
2026-07-31;Портативная колонка BoomBox;5;19950;11500
2026-08-05;Клавиатура Mech;7;31430;20300
2026-05-29;Внешний SSD 1TB;15;134850;91500
2026-05-12;Микрофон Studio;12;65880;43200
2026-06-11;Портативная колонка BoomBox;6;23940;13800
2026-06-24;Наушники AirSound Pro;11;65890;41800
2026-05-13;Веб-камера HD;6;20940;12600
2026-06-28;"Монитор 27""";2;31980;23600
2026-05-12;Внешний SSD 1TB;5;44950;30500
2026-06-15;Кабель USB-C 2м;6;3540;1260
2026-05-27;Клавиатура Mech;5;22450;14500
2026-06-13;Умные часы FitTrack;4;29960;20800
2026-05-11;Микрофон Studio;7;38430;25200
2026-07-14;Клавиатура Mech;15;67350;43500
2026-06-28;Веб-камера HD;10;34900;21000
2026-08-05;Кабель USB-C 2м;9;5310;1890
2026-07-10;Фитнес-браслет Pulse;5;14950;8500
2026-05-23;Кабель USB-C 2м;13;7670;2730
2026-06-25;Веб-камера HD;11;38390;23100
2026-06-10;Чехол для телефона;8;7120;3040
2026-06-01;Микрофон Studio;4;21960;14400
2026-07-15;Чехол для телефона;13;11570;4940
2026-06-30;Микрофон Studio;2;10980;7200
2026-05-16;Внешний SSD 1TB;11;98890;67100
2026-07-25;Веб-камера HD;6;20940;12600
2026-07-06;"Монитор 27""";13;207870;153400
2026-07-08;Микрофон Studio;5;27450;18000
2026-07-18;Мышь Ergo;4;9960;6000
2026-07-05;Смартфон Nova X;1;18990;14200
2026-07-27;Чехол для телефона;10;8900;3800
2026-05-17;Чехол для телефона;7;6230;2660
2026-05-08;Веб-камера HD;4;13960;8400
2026-06-15;Кабель USB-C 2м;8;4720;1680
2026-05-14;Портативная колонка BoomBox;3;11970;6900
2026-07-23;Клавиатура Mech;1;4490;2900
2026-07-08;Мышь Ergo;7;17430;10500
2026-05-08;Умные часы FitTrack;13;97370;67600
2026-07-30;Внешний SSD 1TB;8;71920;48800
2026-07-21;Внешний SSD 1TB;4;35960;24400
2026-06-07;Чехол для телефона;3;2670;1140
2026-05-26;Микрофон Studio;9;49410;32400
2026-06-10;Веб-камера HD;6;20940;12600
2026-06-02;Веб-камера HD;14;48860;29400
2026-05-27;Кабель USB-C 2м;14;8260;2940
2026-07-16;Чехол для телефона;15;13350;5700
2026-06-06;Клавиатура Mech;14;62860;40600
2026-07-05;Чехол для телефона;5;4450;1900
2026-07-01;"Монитор 27""";11;175890;129800
2026-05-31;Мышь Ergo;13;32370;19500
2026-07-06;Чехол для телефона;11;9790;4180
2026-07-27;Фитнес-браслет Pulse;8;23920;13600
2026-07-06;Клавиатура Mech;5;22450;14500
2026-06-26;Фитнес-браслет Pulse;6;17940;10200
2026-07-26;Ноутбук-станция;9;449910;346500
2026-07-07;Умные часы FitTrack;3;22470;15600
2026-07-17;Кабель USB-C 2м;12;7080;2520
2026-07-28;Клавиатура Mech;4;17960;11600
2026-06-24;Кабель USB-C 2м;7;4130;1470
2026-06-13;Внешний SSD 1TB;8;71920;48800
2026-06-13;Смартфон Nova X;4;75960;56800
2026-05-23;Кабель USB-C 2м;15;8850;3150
2026-05-24;Клавиатура Mech;1;4490;2900
2026-08-05;Кабель USB-C 2м;8;4720;1680
2026-06-17;Зарядное устройство 65W;5;9450;4500
2026-06-13;"Монитор 27""";15;239850;177000
2026-05-28;Внешний SSD 1TB;12;107880;73200
2026-07-08;Мышь Ergo;10;24900;15000
2026-07-02;Чехол для телефона;4;3560;1520
2026-08-02;Кабель USB-C 2м;8;4720;1680
2026-05-12;Кабель USB-C 2м;6;3540;1260
2026-06-15;Микрофон Studio;13;71370;46800
2026-06-07;Клавиатура Mech;3;13470;8700
2026-05-18;Ноутбук-станция;3;149970;115500
2026-06-16;Внешний SSD 1TB;1;8990;6100
2026-05-13;Веб-камера HD;10;34900;21000
2026-05-15;Смартфон Nova X;2;37980;28400
2026-06-07;Кабель USB-C 2м;3;1770;630
2026-07-03;Умные часы FitTrack;1;7490;5200
2026-07-09;Кабель USB-C 2м;6;3540;1260
2026-06-23;Чехол для телефона;6;5340;2280
2026-06-18;Мышь Ergo;15;37350;22500
2026-06-13;Фитнес-браслет Pulse;13;38870;22100
2026-07-26;Фитнес-браслет Pulse;14;41860;23800
2026-05-28;Чехол для телефона;1;890;380
2026-07-08;Смартфон Nova X;6;113940;85200
2026-05-14;Микрофон Studio;2;10980;7200
2026-08-02;Смартфон Nova X;13;246870;184600
2026-08-03;Портативная колонка BoomBox;4;15960;9200
2026-07-06;Веб-камера HD;3;10470;6300
2026-05-12;Умные часы FitTrack;8;59920;41600
2026-07-09;Наушники AirSound Pro;10;59900;38000
2026-07-04;Чехол для телефона;12;10680;4560
2026-07-15;Мышь Ergo;6;14940;9000
2026-07-22;Веб-камера HD;10;34900;21000
2026-07-16;Мышь Ergo;14;34860;21000
2026-05-23;Фитнес-браслет Pulse;2;5980;3400
2026-06-27;Смартфон Nova X;15;284850;213000
2026-06-18;Веб-камера HD;11;38390;23100
2026-07-11;Кабель USB-C 2м;12;7080;2520
2026-05-09;Наушники AirSound Pro;10;59900;38000
2026-07-05;"Монитор 27""";11;175890;129800
2026-06-28;Наушники AirSound Pro;12;71880;45600
2026-05-21;"Монитор 27""";11;175890;129800
2026-05-25;Мышь Ergo;2;4980;3000
2026-06-22;Мышь Ergo;1;2490;1500
2026-05-13;Внешний SSD 1TB;7;62930;42700
2026-06-02;Зарядное устройство 65W;2;3780;1800
2026-08-04;Микрофон Studio;6;32940;21600
2026-06-04;"Монитор 27""";7;111930;82600
2026-06-20;Наушники AirSound Pro;7;41930;26600
2026-06-08;Микрофон Studio;15;82350;54000
2026-06-11;Клавиатура Mech;3;13470;8700
2026-05-31;Умные часы FitTrack;12;89880;62400
2026-05-19;Микрофон Studio;5;27450;18000
2026-05-29;Мышь Ergo;15;37350;22500
2026-06-07;Мышь Ergo;8;19920;12000
2026-05-22;Кабель USB-C 2м;14;8260;2940
2026-07-05;Фитнес-браслет Pulse;6;17940;10200
2026-07-25;"Монитор 27""";15;239850;177000
2026-06-09;Фитнес-браслет Pulse;15;44850;25500
2026-06-07;Портативная колонка BoomBox;13;51870;29900
2026-05-12;Веб-камера HD;10;34900;21000
2026-08-02;Кабель USB-C 2м;6;3540;1260
2026-06-25;Чехол для телефона;14;12460;5320
2026-07-09;Умные часы FitTrack;8;59920;41600
2026-07-03;Зарядное устройство 65W;13;24570;11700
2026-05-21;Зарядное устройство 65W;5;9450;4500
2026-07-01;Клавиатура Mech;15;67350;43500
2026-05-31;Внешний SSD 1TB;1;8990;6100
2026-07-06;Портативная колонка BoomBox;2;7980;4600
2026-06-04;Клавиатура Mech;7;31430;20300
2026-07-06;Внешний SSD 1TB;13;116870;79300
2026-05-15;Клавиатура Mech;8;35920;23200
2026-06-09;Клавиатура Mech;8;35920;23200
2026-07-25;Мышь Ergo;1;2490;1500
2026-06-15;Фитнес-браслет Pulse;4;11960;6800
2026-06-27;Клавиатура Mech;4;17960;11600
2026-06-19;Микрофон Studio;10;54900;36000
2026-05-30;Чехол для телефона;9;8010;3420
2026-05-27;Зарядное устройство 65W;7;13230;6300
2026-05-08;Зарядное устройство 65W;6;11340;5400
2026-06-27;Чехол для телефона;5;4450;1900
2026-07-21;Фитнес-браслет Pulse;4;11960;6800
2026-06-26;Клавиатура Mech;4;17960;11600
2026-05-29;Наушники AirSound Pro;12;71880;45600
2026-07-13;Мышь Ergo;12;29880;18000
2026-06-05;Портативная колонка BoomBox;4;15960;9200
2026-05-22;Фитнес-браслет Pulse;12;35880;20400
2026-05-21;Мышь Ergo;9;22410;13500
2026-07-12;Фитнес-браслет Pulse;2;5980;3400
2026-06-20;Фитнес-браслет Pulse;4;11960;6800
2026-08-04;Умные часы FitTrack;5;37450;26000
2026-07-20;Клавиатура Mech;9;40410;26100
2026-07-30;Фитнес-браслет Pulse;1;2990;1700
2026-05-08;Внешний SSD 1TB;5;44950;30500
2026-06-04;Умные часы FitTrack;11;82390;57200
2026-08-04;Наушники AirSound Pro;14;83860;53200
2026-06-06;Веб-камера HD;5;17450;10500
2026-06-23;Чехол для телефона;8;7120;3040
2026-07-04;Умные часы FitTrack;1;7490;5200
2026-07-22;"Монитор 27""";8;127920;94400
2026-06-15;"Монитор 27""";2;31980;23600
2026-05-24;Чехол для телефона;2;1780;760
2026-07-30;Микрофон Studio;11;60390;39600
2026-05-25;Умные часы FitTrack;3;22470;15600
2026-07-05;Фитнес-браслет Pulse;2;5980;3400
2026-06-13;Наушники AirSound Pro;9;53910;34200
2026-05-18;Веб-камера HD;10;34900;21000
2026-05-31;Портативная колонка BoomBox;13;51870;29900
2026-06-10;Кабель USB-C 2м;8;4720;1680
2026-05-22;Фитнес-браслет Pulse;14;41860;23800
2026-05-25;Кабель USB-C 2м;5;2950;1050
2026-05-19;Веб-камера HD;1;3490;2100
2026-07-10;Клавиатура Mech;2;8980;5800
2026-07-03;Микрофон Studio;4;21960;14400
2026-07-16;Микрофон Studio;2;10980;7200
2026-05-27;Портативная колонка BoomBox;3;11970;6900
2026-08-05;Наушники AirSound Pro;3;17970;11400
2026-05-09;Кабель USB-C 2м;8;4720;1680
2026-06-29;Веб-камера HD;8;27920;16800
2026-06-30;Смартфон Nova X;4;75960;56800
2026-05-08;Клавиатура Mech;5;22450;14500
2026-07-27;"Монитор 27""";8;127920;94400
2026-07-03;Микрофон Studio;4;21960;14400
2026-05-17;Мышь Ergo;13;32370;19500
2026-07-11;Веб-камера HD;11;38390;23100
2026-05-28;Кабель USB-C 2м;2;1180;420
2026-07-17;Портативная колонка BoomBox;11;43890;25300
2026-07-18;Ноутбук-станция;5;249950;192500
2026-07-15;Наушники AirSound Pro;1;5990;3800
2026-05-21;Мышь Ergo;5;12450;7500
2026-05-25;Клавиатура Mech;14;62860;40600
2026-06-10;Ноутбук-станция;5;249950;192500
2026-05-09;Наушники AirSound Pro;8;47920;30400
